
 num     #instances         #bytes  class name
 125:            12            480  com.sun.jmx.mbeanserver.PerInterface
 126:            30            480  sun.reflect.DelegatingConstructorAccessorImpl
 127:            19            456  com.sun.jmx.mbeanserver.NamedObject
 128:            19            456  java.util.Locale$LocaleKey
 129:            19            456  [Ljavax.management.MBeanParameterInfo;
 130:            14            448  java.security.AccessControlContext
 131:            14            448  java.util.Vector
 132:             8            448  javax.management.openmbean.OpenMBeanParameterInfoSupport
 133:             7            448  java.nio.DirectByteBuffer
 134:            14            448  java.lang.ThreadLocal$ThreadLocalMap$Entry
 135:            18            432  java.text.DateFormat$Field
 136:            18            400  [Ljavax.management.MBeanNotificationInfo;
 137:             7            392  java.util.ResourceBundle$CacheKey
 138:            21            392  [Lsun.reflect.generics.tree.TypeArgument;
 139:            15            360  java.util.concurrent.CopyOnWriteArrayList
 140:            11            352  sun.reflect.UnsafeQualifiedObjectFieldAccessorImpl
 141:             3            344  [Ljava.math.BigInteger;
 142:            21            336  sun.reflect.generics.tree.ClassTypeSignature
 143:             4            336  [D
 144:            14            336  javax.management.StandardMBean
 145:            14            336  sun.reflect.NativeMethodAccessorImpl
 146:             7            336  java.util.ResourceBundle$BundleReference
 147:             6            336  java.util.Properties
 148:             7            336  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping
 149:             6            336  java.nio.DirectLongBufferU
 150:            16            328  [Ljava.lang.management.PlatformComponent;
 151:             5            320  java.util.jar.JarFile
 152:            10            320  java.security.Permissions
 153:            13            312  sun.misc.MetaIndex
 154:             4            288  java.util.regex.Pattern
 155:             2            288  java.text.DecimalFormat
 156:            12            288  java.lang.RuntimePermission
 157:             9            288  sun.security.jca.ProviderConfig
 158:            12            288  java.util.Collections$SingletonList
 159:             9            288  java.util.logging.Level
 160:             4            280  [[Ljava.lang.Object;
 161:             5            280  sun.management.MemoryPoolImpl
 162:            11            264  sun.jvmstat.perfdata.monitor.v2_0.TypeCode
 163:            16            256  java.security.ProtectionDomain$Key
 164:            16            256  [Ljava.security.Principal;
 165:             8            256  java.lang.OutOfMemoryError
 166:            16            256  java.util.HashSet
 167:             8            256  java.util.regex.Pattern$Curly
 168:             3            240  java.util.jar.JarFile$JarFileEntry
 169:            15            240  java.util.concurrent.locks.ReentrantLock
 170:             6            240  sun.reflect.generics.repository.MethodRepository
 171:            10            240  java.util.Arrays$ArrayList
 172:             3            240  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 173:            10            240  java.nio.file.StandardOpenOption
 174:             4            224  sun.util.calendar.ZoneInfo
 175:            14            224  sun.reflect.DelegatingMethodAccessorImpl
 176:             7            224  java.util.ResourceBundle$LoaderReference
 177:            13            216  [Ljavax.management.MBeanConstructorInfo;
 178:             9            216  sun.util.logging.PlatformLogger$Level
 179:             9            216  java.util.logging.Level$KnownLevel
 180:             9            216  java.nio.file.attribute.PosixFilePermission
 181:             2            208  java.util.concurrent.ThreadLocalRandom
 182:            10            208  [Ljava.lang.reflect.Type;
 183:            13            208  java.lang.ThreadLocal
 184:             5            200  sun.management.MemoryPoolImpl$PoolSensor
 185:             5            200  sun.management.MemoryPoolImpl$CollectionSensor
 186:             5            200  sun.misc.URLClassPath
 187:             6            192  sun.reflect.generics.tree.MethodTypeSignature
 188:             6            192  java.lang.ClassLoader$NativeLibrary
 189:             6            192  java.util.regex.Pattern$Branch
 190:             6            192  java.util.Stack
 191:             4            192  java.nio.HeapByteBuffer
 192:             8            192  sun.reflect.generics.factory.CoreReflectionFactory
 193:             8            192  java.math.RoundingMode
 194:             2            192  [Ljava.text.DateFormat$Field;
 195:             3            192  java.util.regex.Matcher
 196:            11            176  java.text.NumberFormat$Field
 197:             7            168  java.util.regex.Pattern$GroupTail
 198:             7            168  java.net.NetPermission
 199:             7            168  java.util.regex.Pattern$GroupHead
 200:             7            168  java.util.Collections$UnmodifiableRandomAccessList
 201:             7            168  sun.jvmstat.monitor.Units
 202:             3            168  javax.management.openmbean.OpenMBeanOperationInfoSupport
 203:             3            168  sun.nio.cs.StreamEncoder
 204:             7            168  java.security.AllPermissionCollection
 205:             9            168  [Lsun.reflect.generics.tree.FieldTypeSignature;
 206:             7            168  com.sun.management.VMOption$Origin
 207:             4            160  java.util.Collections$SingletonMap
 208:             2            160  java.net.URLClassLoader
