
 num     #instances         #bytes  class name
 519:             1             16  java.lang.management.PlatformComponent$10
 520:             1             16  java.security.ProtectionDomain$3
 521:             1             16  org.eclipse.jdt.internal.jarinjarloader.RsrcURLStreamHandler
 522:             1             16  java.lang.management.PlatformComponent$11
 523:             1             16  java.lang.management.PlatformComponent$12
 524:             1             16  com.sun.jmx.mbeanserver.MXBeanIntrospector
 525:             1             16  java.lang.management.PlatformComponent$13
 526:             1             16  java.io.DeleteOnExitHook$1
 527:             1             16  [Lsun.instrument.TransformerManager$TransformerInfo;
 528:             1             16  java.lang.String$CaseInsensitiveComparator
 529:             1             16  java.lang.management.PlatformComponent$14
 530:             1             16  java.io.FileDescriptor$1
 531:             1             16  java.lang.management.PlatformComponent$15
 532:             1             16  sun.net.spi.DefaultProxySelector
 533:             1             16  sun.jvmstat.perfdata.monitor.protocol.local.LocalVmManager$2
 534:             1             16  com.mysql.jdbc.Driver
 535:             1             16  java.util.Collections$EmptyIterator
 536:             1             16  java.util.Collections$EmptySet
 537:             1             16  sun.jvmstat.monitor.HostIdentifier
 538:             1             16  org.slf4j.helpers.NOPLoggerFactory
 539:             1             16  java.util.Collections$EmptyEnumeration
 540:             1             16  org.postgresql.core.v2.ConnectionFactoryImpl
 541:             1             16  java.lang.Terminator$1
 542:             1             16  java.lang.InheritableThreadLocal
 543:             1             16  javax.management.NotificationBroadcasterSupport$1
 544:             1             16  java.util.Collections$EmptyList
 545:             1             16  sun.misc.FloatingDecimal$1
 546:             1             16  javax.management.JMX
 547:             1             16  javax.management.MBeanServerBuilder
 548:             1             16  sun.misc.Perf
 549:             1             16  sun.jvmstat.perfdata.monitor.protocol.local.LocalVmManager$3
 550:             1             16  com.sun.jmx.mbeanserver.DescriptorCache
 551:             1             16  java.util.ResourceBundle$Control
 552:             1             16  com.mysql.fabric.jdbc.FabricMySQLDriver
 553:             1             16  sun.nio.ch.Util$1
 554:             1             16  sun.util.resources.LocaleData$LocaleDataResourceBundleControl
 555:             1             16  [[B
 556:             1             16  com.sun.jmx.interceptor.DefaultMBeanServerInterceptor$ResourceContext$1
 557:             1             16  com.sun.jmx.mbeanserver.MBeanAnalyzer$MethodOrder
 558:             1             16  java.util.Hashtable$EntrySet
 559:             1             16  sun.management.ManagementFactoryHelper$PlatformLoggingImpl
 560:             1             16  java.util.regex.Pattern$Node
 561:             1             16  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter
 562:             1             16  java.util.regex.Pattern$4
 563:             1             16  java.util.IdentityHashMap$KeySet
 564:             1             16  sun.reflect.ReflectionFactory
 565:             1             16  java.util.regex.Pattern$LastNode
 566:             1             16  sun.misc.Unsafe
 567:             1             16  java.lang.System$2
 568:             1             16  java.util.zip.ZipFile$2
 569:             1             16  [Ljava.text.FieldPosition;
 570:             1             16  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock
 571:             1             16  java.util.TreeMap$KeySet
 572:             1             16  org.ucsd.db.bsmagen1M.diffs.FastViewFanout
 573:             1             16  java.lang.ref.Reference$Lock
 574:             1             16  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock
 575:             1             16  java.util.jar.JavaUtilJarAccessImpl
 576:             1             16  org.slf4j.helpers.NOPLogger
 577:             1             16  sun.reflect.generics.tree.TypeVariableSignature
 578:             1             16  java.util.concurrent.ThreadLocalRandom$1
 579:             1             16  sun.tools.attach.LinuxAttachProvider
 580:             1             16  java.beans.PropertyChangeSupport$PropertyChangeListenerMap
 581:             1             16  java.io.Console$1
 582:             1             16  java.net.InetAddress$1
 583:             1             16  java.io.Console$2
 584:             1             16  [Ljava.beans.PropertyChangeListener;
 585:             1             16  sun.misc.Launcher
 586:             1             16  org.postgresql.Driver
 587:             1             16  sun.jdbc.odbc.JdbcOdbcTracer
 588:             1             16  [Ljava.security.cert.Certificate;
 589:             1             16  java.lang.Runtime
 590:             1             16  sun.misc.Launcher$Factory
 591:             1             16  sun.util.calendar.Gregorian
 592:             1             16  java.util.HashMap$Values
 593:             1             16  [Ljava.lang.Throwable;
 594:             1             16  java.util.WeakHashMap$KeySet
 595:             1             16  java.lang.CharacterDataLatin1
 596:             1             16  sun.management.ClassLoadingImpl
 597:             1             16  java.nio.Bits$1$1
 598:             1             16  sun.net.www.protocol.jar.JarFileFactory
 599:             1             16  [Ljava.security.Provider;
 600:             1             16  java.security.AllPermission
 601:             1             16  java.net.URLClassLoader$7
 602:             1             16  java.nio.charset.CoderResult$1
 603:             1             16  java.util.Collections$SingletonSet
 604:             1             16  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory
 605:             1             16  sun.nio.ch.FileChannelImpl$1
 606:             1             16  [Ljava.util.logging.Handler;
 607:             1             16  java.nio.charset.CoderResult$2
 608:             1             16  [Ljava.nio.file.attribute.FileAttribute;
 609:             1             16  java.lang.management.PlatformComponent$1
 610:             1             16  sun.nio.fs.LinuxFileSystemProvider
 611:             1             16  org.postgresql.core.v3.ConnectionFactoryImpl
 612:             1             16  java.lang.reflect.ReflectAccess
 613:             1             16  java.text.MessageFormat$Field
 614:             1             16  java.lang.management.PlatformComponent$2
 615:             1             16  com.sun.jmx.mbeanserver.MBeanInstantiator
 616:             1             16  org.h2.Driver
 617:             1             16  java.lang.management.PlatformComponent$3
 618:             1             16  sun.management.HotSpotDiagnostic
 619:             1             16  java.lang.ApplicationShutdownHooks$1
 620:             1             16  java.lang.management.PlatformComponent$4
 621:             1             16  com.sun.jmx.mbeanserver.SecureClassLoaderRepository
 622:             1             16  java.lang.management.PlatformComponent$5
 623:             1             16  java.util.logging.LoggingProxyImpl
 624:             1             16  java.lang.management.PlatformComponent$6
 625:             1             16  java.lang.reflect.Proxy$KeyFactory
 626:             1             16  java.lang.management.PlatformComponent$7
 627:             1             16  java.nio.Bits$1
 628:             1             16  java.lang.management.PlatformComponent$8
 629:             1             16  java.security.ProtectionDomain$1
 630:             1             16  sun.jvmstat.perfdata.monitor.protocol.local.LocalVmManager$1
Total       3696995      158789856
